Dataset	PlexID
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f01_06Dec20_Arwen_WBEH-20-08-06	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f02_29Dec20_Arwen_WBEH-20-12-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f03_29Dec20_Arwen_WBEH-20-12-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f04_29Dec20_Arwen_WBEH-20-12-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f05_29Dec20_Arwen_WBEH-20-12-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f06_29Dec20_Arwen_WBEH-20-12-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f07_29Dec20_Arwen_WBEH-20-12-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f08_29Dec20_Arwen_WBEH-20-12-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f09_12Jan21_Arwen_WBEH-21-01-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f10_12Jan21_Arwen_WBEH-21-01-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f11_12Jan21_Arwen_WBEH-21-01-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f12_12Jan21_Arwen_WBEH-21-01-01	01
01MOTRPAC_Pass1B-06_66_PR_PN_20200810_f13_12Jan21_Arwen_WBEH-21-01-01	01
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f01_06Dec20_Arwen_WBEH-20-08-06	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f02_29Dec20_Arwen_WBEH-20-12-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f03_29Dec20_Arwen_WBEH-20-12-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f04_29Dec20_Arwen_WBEH-20-12-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f05_29Dec20_Arwen_WBEH-20-12-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f06_29Dec20_Arwen_WBEH-20-12-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f07_29Dec20_Arwen_WBEH-20-12-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f08_29Dec20_Arwen_WBEH-20-12-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f09_12Jan21_Arwen_WBEH-21-01-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f10_12Jan21_Arwen_WBEH-21-01-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f11_12Jan21_Arwen_WBEH-21-01-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f12_12Jan21_Arwen_WBEH-21-01-01	02
02MOTRPAC_Pass1B-06_66_PR_PN_20200810_f13_12Jan21_Arwen_WBEH-21-01-01	02
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f01_06Dec20_Arwen_WBEH-20-08-06	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f02_29Dec20_Arwen_WBEH-20-12-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f03_29Dec20_Arwen_WBEH-20-12-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f04_29Dec20_Arwen_WBEH-20-12-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f05_29Dec20_Arwen_WBEH-20-12-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f06_29Dec20_Arwen_WBEH-20-12-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f07_29Dec20_Arwen_WBEH-20-12-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f08_29Dec20_Arwen_WBEH-20-12-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f09_12Jan21_Arwen_WBEH-21-01-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f10_12Jan21_Arwen_WBEH-21-01-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f11_12Jan21_Arwen_WBEH-21-01-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f12_12Jan21_Arwen_WBEH-21-01-01	03
03MOTRPAC_Pass1B-06_66_PR_PN_20200810_f13_12Jan21_Arwen_WBEH-21-01-01	03
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f01_06Dec20_Arwen_WBEH-20-08-06	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f02_29Dec20_Arwen_WBEH-20-12-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f03_29Dec20_Arwen_WBEH-20-12-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f04_29Dec20_Arwen_WBEH-20-12-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f05_29Dec20_Arwen_WBEH-20-12-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f06_29Dec20_Arwen_WBEH-20-12-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f07_29Dec20_Arwen_WBEH-20-12-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f08_29Dec20_Arwen_WBEH-20-12-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f09_12Jan21_Arwen_WBEH-21-01-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f10_12Jan21_Arwen_WBEH-21-01-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f11_12Jan21_Arwen_WBEH-21-01-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f12_12Jan21_Arwen_WBEH-21-01-01	04
04MOTRPAC_Pass1B-06_66_PR_PN_20200810_f13_12Jan21_Arwen_WBEH-21-01-01	04
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f01_06Dec20_Arwen_WBEH-20-08-06	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f02_29Dec20_Arwen_WBEH-20-12-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f03_29Dec20_Arwen_WBEH-20-12-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f04_29Dec20_Arwen_WBEH-20-12-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f05_29Dec20_Arwen_WBEH-20-12-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f06_29Dec20_Arwen_WBEH-20-12-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f07_29Dec20_Arwen_WBEH-20-12-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f08_29Dec20_Arwen_WBEH-20-12-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f09_12Jan21_Arwen_WBEH-21-01-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f10_12Jan21_Arwen_WBEH-21-01-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f11_12Jan21_Arwen_WBEH-21-01-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f12_12Jan21_Arwen_WBEH-21-01-01	05
05MOTRPAC_Pass1B-06_66_PR_PN_20200810_f13_12Jan21_Arwen_WBEH-21-01-01	05
06MOTRPAC_Pass1B-06_66_PR_PN_20200810_f01_06Dec20_Arwen_WBEH-20-08-06	06
06MOTRPAC_Pass1B-06_66_PR_PN_20200810_f02_29Dec20_Arwen_WBEH-20-12-01	06
06MOTRPAC_Pass1B-06_66_PR_PN_20200810_f03_29Dec20_Arwen_WBEH-20-12-01	06
06MOTRPAC_Pass1B-06_66_PR_PN_20200810_f04_29Dec20_Arwen_WBEH-20-12-01	06
06MOTRPAC_Pass1B-06_66_PR_PN_20200810_f05_29Dec20_Arwen_WBEH-20-12-01	06
